Name,Address,Latitude,Longitude,Notes,Group,Use HTML,Button Link,Tags
Anthropic — 400 Howard St (Signed 3/25/26),"400 Howard St, San Francisco, CA",,,"Signed 3/25/26 | #18 largest YTD | 104,286 SF | Floors: 4-6 | Term: 2 yrs, 4 mos | Type: Direct | Yr-1 rent: $86.5 | Esc: 3% | Free rent: 2 mos | TI: $35/RSF | Renewal",Direct,,,"Lease Comp, Anthropic, Direct, Q1 2026, Renewal"
RAMP — 235 2nd St (Signed 3/1/26),"235 2nd St, San Francisco, CA",,,"Signed 3/1/26 | #19 largest YTD | 82,215 SF | Floors: 5,6 | Term: 4 yrs, 4 mos | Type: Sublease | Yr-1 rent: $95 | Esc: 3% | Free rent: 4 mos | Relocation",Sublease,,,"Lease Comp, RAMP, Sublease, Q1 2026, Relocation"
Perplexity — 181 Fremont St (Signed 2/24/26),"181 Fremont St, San Francisco, CA",,,"Signed 2/24/26 | #20 largest YTD | 80,561 SF | Floors: 7-12 | Term: 4 yrs, 11 mos | Type: Sublease | Yr-1 rent: $60 | Esc: 3% | Free rent: 4 mos | TI: $0/RSF | Relocation",Sublease,,,"Lease Comp, Perplexity, Sublease, Q1 2026, Relocation"
Disney — 1 Market St (Signed 8/30/26),"1 Market St, San Francisco, CA",,,"Signed 8/30/26 | #21 largest YTD | 76,000 SF | Floors: 6 | Term: confi | Type: Direct | Yr-1 rent: Confi | Esc: Confi | Free rent: Confi | TI: Confi | Relocation",Direct,,,"Lease Comp, Disney, Direct, Q3 2026, Relocation"
Anthropic — 405 Howard St (Signed 4/6/26),"405 Howard St, San Francisco, CA",,,"Signed 4/6/26 | #22 largest YTD | 72,091 SF | Floors: 3rd | Term: 2 yrs, 9 mos | Type: Direct | Yr-1 rent: $85 | Esc: 3% | Free rent: 2 mos | Expansion",Direct,,,"Lease Comp, Anthropic, Direct, Q2 2026, Expansion"
General Catalyst Partners — 8 22nd St (Signed 1/13/26),"8 22nd St, San Francisco, CA",,,"Signed 1/13/26 | #23 largest YTD | 69,999 SF | Floors: 3rd | Term: 12 yrs | Type: Direct | Yr-1 rent: $63 | Esc: 3% | Free rent: 12 mos | TI: $250/RSF | New to Market",Direct,,,"Lease Comp, General Catalyst Partners, Direct, Q1 2026, New to Market"
Decagon Inc — 680 Folsom St (Signed 2/16/26),"680 Folsom St, San Francisco, CA",,,"Signed 2/16/26 | #24 largest YTD | 69,358 SF | Floors: 6th,7th | Term: 5 yrs, 5 mos | Type: Direct | Yr-1 rent: $78.5 | Esc: 3% | Free rent: 5 mos | TI: $190/RSF | New to Market",Direct,,,"Lease Comp, Decagon Inc, Direct, Q1 2026, New to Market"
LangChain — 303 2nd St (Signed 4/9/26),"303 2nd St, San Francisco, CA",,,"Signed 4/9/26 | #25 largest YTD | 68,942 SF | Floors: 9,10 | Term: 3 yrs, 8 mos | Type: Sublease | Yr-1 rent: $55 | Esc: 3% | Free rent: 5 mos | TI: $5/RSF | Relocation",Sublease,,,"Lease Comp, LangChain, Sublease, Q2 2026, Relocation"
Assort Health (AI) — 1 Market St (Signed 4/10/26),"1 Market St, San Francisco, CA",,,"Signed 4/10/26 | #26 largest YTD | 62,384 SF | Floors: 8, 9, 10 | Term: 4 yrs | Type: Direct | Yr-1 rent: $88 | Esc: 3% | Free rent: 4 mos | TI: $35/RSF | New Lease",Direct,,,"Lease Comp, Assort Health (AI), Direct, Q2 2026, New Lease"
Harvey AI — 201 Third St (Signed 3/31/26),"201 Third St, San Francisco, CA",,,"Signed 3/31/26 | #27 largest YTD | 61,780 SF | Floors: 4,8 | Term: 3 yrs, 1 mo | Type: Direct | Yr-1 rent: $59.5 | Esc: 3% | Free rent: 3 mos | TI: $10/RSF | Expansion",Direct,,,"Lease Comp, Harvey AI, Direct, Q1 2026, Expansion"
Physical Intelligence — 808 Brannan St (Signed 3/1/26),"808 Brannan St, San Francisco, CA",,,"Signed 3/1/26 | #28 largest YTD | 61,455 SF | Floors: 1-4 | Term: 3 yrs | Type: Sublease | Yr-1 rent: $58 | Esc: 3% | Free rent: 3 mos | TI: $0/RSF | Relocation",Sublease,,,"Lease Comp, Physical Intelligence, Sublease, Q1 2026, Relocation"
GSA — 100 First St (Signed 6/1/26),"100 First St, San Francisco, CA",,,"Signed 6/1/26 | #29 largest YTD | 49,410 SF | Floors: 18-20 | Term: 5 yrs | Type: Direct | Yr-1 rent: $68.33 | Esc: 0% | Free rent: 0 mos",Direct,,,"Lease Comp, GSA, Direct, Q2 2026"
Lightspeed Venture Partners — 149 New Montgomery St (Signed 4/6/26),"149 New Montgomery St, San Francisco, CA",,,"Signed 4/6/26 | #30 largest YTD | 43,248 SF | Floors: 1, 4, 5, 6 | Term: 12 yrs | Type: Direct | Yr-1 rent: $91.26 | Esc: 3% | Free rent: 12 mos | TI: $205/RSF | Relocation",Direct,,,"Lease Comp, Lightspeed Venture Partners, Direct, Q2 2026, Relocation"
Nebius — 274 Brannan St (Signed 8/15/26),"274 Brannan St, San Francisco, CA",,,"Signed 8/15/26 | #31 largest YTD | 43,000 SF | Floors: 5, 6 | Term: 3 yrs 8 months | Type: Direct | Yr-1 rent: $63 | Esc: 3% | Free rent: 4 mos | TI: $30/RSF | New to Market",Direct,,,"Lease Comp, Nebius, Direct, Q3 2026, New to Market"
Davis Polk & Wardwell — 1 Market St (Signed 2/3/26),"1 Market St, San Francisco, CA",,,"Signed 2/3/26 | #32 largest YTD | 42,445 SF | Floors: 30-31 | Term: 13 yrs | Type: Direct | Yr-1 rent: $119 | Esc: 3% | Free rent: 12 mos | TI: $220/RSF | New to Market",Direct,,,"Lease Comp, Davis Polk & Wardwell, Direct, Q1 2026, New to Market"
